kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad
11014932,K01432.01,CONFIRMED,CANDIDATE,1.0,6.88595222,3.401505198594612,423.687581469101,2.371674237298693,1.0563953
11014932,K01432.02,CONFIRMED,CANDIDATE,0.996,15.0549356,4.606757416651546,258.18102391617083,1.8513747148241664,1.0563953
11014932,K01432.04,CONFIRMED,CANDIDATE,0.997,38.2856338,6.099319524979684,327.7229662953518,2.085862167801693,1.0563953
11288505,K01433.01,CONFIRMED,CANDIDATE,1.0,19.80787763,3.351405020223047,615.099604119318,2.416401278705134,0.8932862
11037335,K01435.01,CONFIRMED,CANDIDATE,1.0,40.7150498,8.272772404276957,561.7004219604648,3.7630546585151126,1.4557354
11037335,K01435.02,CONFIRMED,CANDIDATE,1.0,10.44635944,2.1806681943863833,345.6362201202934,2.9518737224930494,1.4557354
11389771,K01436.02,CONFIRMED,CANDIDATE,1.0,13.75129636,3.748513016088497,349.0352947648212,2.053139478751723,1.0075766
11389771,K01436.03,CONFIRMED,CANDIDATE,0.975,5.41908491,2.2817935722627407,231.01782665208015,1.6703463334230486,1.0075766
11599038,K01437.01,CANDIDATE,CANDIDATE,1.0,7.01733571,3.428252639510526,255.1933686498753,1.765000314594324,1.0129882
11032227,K01440.01,CONFIRMED,CANDIDATE,0.995,7.19304935,3.361767688807479,254.72286420857859,2.1591896346780293,1.2403696
11356260,K01441.01,CONFIRMED,CANDIDATE,0.987,8.50698069,2.8093698279698214,293.3685007978637,1.5988724097523277,0.8558573
11336883,K01445.01,CONFIRMED,CANDIDATE,0.997,7.16893064,4.602693814829442,112.50573777837891,1.6830589278952437,1.45481
9480310,K01470.01,CANDIDATE,CANDIDATE,1.0,15.43400996,3.9410385379227546,1779.6616311056002,4.830238142666028,1.0497699
7761545,K01472.01,CONFIRMED,CANDIDATE,0.933,85.3514875,6.356839056091305,4678.703403780848,7.4975386137882545,1.0049634
7499398,K01473.01,CANDIDATE,CANDIDATE,1.0,23.02028478,3.0043851736094935,5056.145572123527,8.460062309340492,1.0908325
4770365,K01475.02,CANDIDATE,CANDIDATE,0.974,9.51220046,2.840180257921136,1172.7326937873706,2.652063419350682,0.71003324
4770365,K01475.03,CANDIDATE,CANDIDATE,0.988,4.72941177,2.1821719980716123,432.4178891225161,1.6104090967010045,0.71003324
12406749,K01476.01,CANDIDATE,CANDIDATE,0.999,56.3587987,5.40037956170694,2551.8436992315596,4.6134262863269395,0.8373188
7811397,K01477.01,CANDIDATE,CANDIDATE,0.919,169.4976085,6.686486466915463,12160.611078520733,9.767701599195622,0.812099
12403119,K01478.01,CONFIRMED,CANDIDATE,0.965,76.13622222,7.567614879223259,2951.954967796211,5.618960922690767,0.94819015
7512982,K01480.01,CONFIRMED,CANDIDATE,1.0,20.38174802,3.641651999526295,1598.0551946664923,3.156145224827051,0.72386134
7512982,K01480.02,CANDIDATE,CANDIDATE,0.975,7.00447892,2.532849103466129,228.70961457899242,1.1939971819012052,0.72386134
9597806,K01481.01,CONFIRMED,CANDIDATE,1.0,5.101375725,2.5327249244981913,897.0038207538611,2.9881149250391053,0.9147332
7898352,K01486.02,CONFIRMED,CANDIDATE,1.0,30.1837021,5.711424158536422,975.4865476668817,4.044865686443375,1.1873746
9589323,K01488.01,CONFIRMED,CANDIDATE,1.0,3.949627144,1.5101455390343208,813.757984531871,2.5683411094225783,0.82546633
9823487,K01489.01,CANDIDATE,CANDIDATE,1.0,16.00460392,3.806154345138002,831.8725733446053,2.215287678857731,0.7042
11821363,K01494.01,CANDIDATE,CANDIDATE,0.995,8.19596647,2.7101128950553397,794.2828652468537,2.3322899252468714,0.75873345
9636135,K01498.01,CONFIRMED,CANDIDATE,0.997,5.83376197,3.8026988082205184,531.5142898631997,3.668897076544869,1.4590573
7841925,K01499.01,CONFIRMED,CANDIDATE,1.0,14.16400071,4.199428699452948,728.9758291925131,2.6219414350503807,0.8903499
7841925,K01499.03,CANDIDATE,CANDIDATE,0.465,6.20920207,2.55222298269063,101.69560725248328,0.9793039800367914,0.8903499
9813499,K01505.01,CONFIRMED,CANDIDATE,1.0,5.03257009,3.276841384623046,411.9835964117025,2.707881916042111,1.2231622
12254792,K01506.01,CONFIRMED,CANDIDATE,1.0,40.4286676,6.316274369633097,908.6950623095058,3.351582882567563,1.0193778
12020218,K01507.01,CONFIRMED,CANDIDATE,1.0,21.3588236,5.700206778604659,640.5715416889501,2.971777366258369,1.0765315
12418724,K01516.01,CONFIRMED,CANDIDATE,1.0,20.55331441,4.979689463543475,673.7544744235269,3.1496820023145036,1.112526
7456001,K01517.01,CONFIRMED,CANDIDATE,1.0,40.0686713,5.720269420103351,972.6102109032242,4.301744483849963,1.2646475
7549209,K01518.01,CONFIRMED,CANDIDATE,1.0,27.5071114,5.150438125697656,574.824405386809,3.1494102313500183,1.2043589
7663405,K01519.01,CONFIRMED,CANDIDATE,1.0,5.1443645,2.602493691413082,312.8225265930373,1.774085339274158,0.9196441
7663405,K01519.02,CANDIDATE,CANDIDATE,0.746,57.132855,4.693781938640491,413.8159991233792,2.0404649356275506,0.9196441
12266636,K01522.01,CONFIRMED,CANDIDATE,0.997,33.3856176,4.875490603988465,552.4155453833224,2.9276183142716805,1.1420255
12266636,K01522.02,CANDIDATE,CANDIDATE,0.954,12.654896,4.344991270565649,97.40044871409114,1.2293116245688243,1.1420255
9824805,K01526.01,CONFIRMED,CANDIDATE,1.0,4.4444826,3.306154458979739,162.03600297648447,1.5732671510629561,1.1331594
7768451,K01527.01,CANDIDATE,CANDIDATE,0.988,192.667139,4.619965455362156,1129.0340920929732,3.703837614478382,1.0106312
7691260,K01528.01,CONFIRMED,CANDIDATE,1.0,3.989544192,1.5692168993954088,190.90466510818248,1.3617101930953233,0.90358853
9821454,K01529.01,CONFIRMED,CANDIDATE,1.0,17.9776037,4.459014010256199,212.9583442848082,2.2060777418051982,1.3860145
9821454,K01529.02,CONFIRMED,CANDIDATE,1.0,11.8693144,4.422961452247943,101.85227070047543,1.5256637936042876,1.3860145
11954842,K01530.01,CONFIRMED,CANDIDATE,1.0,12.98494603,3.39941152623173,257.50452372164114,2.0590932114158558,1.1764619
11656246,K01532.01,CONFIRMED,CANDIDATE,0.997,18.11473813,4.90616774807296,240.72385553602916,2.420713150536105,1.4304677
7808587,K01533.01,CONFIRMED,CANDIDATE,1.0,6.24145791,3.0761849002553783,163.46106140519012,1.3761734175440958,0.9868708
4741126,K01534.01,CONFIRMED,CANDIDATE,1.0,20.4222447,6.16943623624442,188.95467525681386,1.9927686907908375,1.329145
4741126,K01534.02,CONFIRMED,CANDIDATE,0.995,7.63846084,3.905976045247183,71.13557539711879,1.2227044549464638,1.329145
11669125,K01535.01,CONFIRMED,CANDIDATE,0.957,70.6981724,6.520332464776316,357.47716118644803,1.7786750611884214,0.8625152
12159249,K01536.01,CONFIRMED,CANDIDATE,1.0,3.74443645,2.884175207281785,73.27283354618963,1.3901944333851017,1.4890125
9872292,K01537.01,CANDIDATE,CANDIDATE,0.923,10.19154678,6.091072429354212,60.94244081877864,1.475765549169076,1.7332122
7984047,K01552.01,CANDIDATE,CANDIDATE,0.942,77.63424586,3.6750287663668217,16647.31521400975,8.761284254288077,0.62257254
5371776,K01557.01,CONFIRMED,CANDIDATE,1.0,3.295701024,1.754691906505981,1759.0073530945326,2.738179756395914,0.5985803
5371776,K01557.02,CONFIRMED,CANDIDATE,1.0,9.65349016,2.8042757589497707,1311.7341274577755,2.3645638013662875,0.5985803
5371776,K01557.03,CONFIRMED,CANDIDATE,1.0,5.315954488,1.0502687451626498,993.2519971503906,2.0575853135292195,0.5985803
5308663,K01562.02,CANDIDATE,CANDIDATE,0.784,20.0679247,4.879440041682497,474.0787896124199,3.225733571755716,1.3583057
5219234,K01563.01,CONFIRMED,CANDIDATE,1.0,5.48711441,2.6667250041214055,1328.4123897655543,3.181976817799949,0.80043274
5219234,K01563.02,CONFIRMED,CANDIDATE,1.0,8.29084167,2.988416975467841,1019.2596435358859,2.7872310222046988,0.80043274
5219234,K01563.03,CANDIDATE,CANDIDATE,1.0,3.20539622,2.066572946159284,454.168645162456,1.8605404934987815,0.80043274
5219234,K01563.04,CONFIRMED,CANDIDATE,1.0,16.73869035,2.2668441840089635,999.391285733009,2.7599316805850957,0.80043274
5438099,K01567.01,CONFIRMED,CANDIDATE,1.0,7.24022418,2.8159096155739007,864.6762344093339,2.479570669504691,0.77311486
5438099,K01567.02,CONFIRMED,CANDIDATE,1.0,4.64622383,2.3188609977841317,447.77290515507497,1.7843442044140936,0.77311486
5438099,K01567.03,CONFIRMED,CANDIDATE,1.0,17.32670445,4.025436083319255,799.6744143494716,2.3845494311709703,0.77311486
5438099,K01567.04,CONFIRMED,CANDIDATE,0.999,44.8411168,5.2830102026007655,1050.2887338812438,2.7327763005777763,0.77311486
8009350,K01569.01,CONFIRMED,CANDIDATE,1.0,13.75207851,2.6044447614214166,1216.1003903726764,2.024075045825682,0.5321526
8082001,K01570.01,CONFIRMED,CANDIDATE,1.0,6.33855946,3.037675920364104,713.4335079898025,3.3777821632502225,1.1594424
10004519,K01572.01,CONFIRMED,CANDIDATE,1.0,9.80321143,4.266476217601089,808.8422231493641,2.6018499629025524,0.83877337
5031857,K01573.01,CANDIDATE,CANDIDATE,1.0,24.81097206,3.0931303142319235,2093.116286662644,6.535710147916909,1.309756
5031857,K01573.02,CANDIDATE,CANDIDATE,1.0,7.136922,2.7321456665752972,222.29702645115702,2.1299182346688488,1.309756
5299459,K01576.01,CONFIRMED,CANDIDATE,1.0,10.41572666,2.6394416432812946,826.428423679304,3.317044563348531,1.057896
5299459,K01576.02,CONFIRMED,CANDIDATE,1.0,13.08424286,2.9090006370807804,661.5357371231312,2.9677365029918072,1.057896
4918309,K01582.01,CANDIDATE,CANDIDATE,1.0,186.4361811,3.932082978836538,4414.496001239554,8.21953355036956,1.1342294
9941066,K01584.01,CONFIRMED,CANDIDATE,0.998,5.87063416,2.459429800750677,505.7408052878687,1.532986367353115,0.62498355
5470739,K01585.01,CONFIRMED,CANDIDATE,1.0,19.17893976,5.013118340886056,751.7241447597133,3.5264331082757265,1.1792359
10022908,K01586.01,CONFIRMED,CANDIDATE,1.0,6.99130452,2.0724053715630624,556.1815578586371,1.7503366216336356,0.6804678
5617854,K01588.01,CONFIRMED,CANDIDATE,1.0,3.517494725,1.5006430091746412,533.2506287691886,1.4160878643470605,0.5622362
