kepid,mass,radius,teff,bp_rp,rrmscdpp04p5
10088524,0.816,0.7210548,5019.54,1.1153221,134.401
10088528,1.092,1.4560555,5436,0.9194622,230.593
10088590,0.965,1.164017,5251.1777,1.0320587,180.421
10088610,0.835,0.90985453,4906,1.1073971,275.05
10088619,1.213,1.438187,5783.3335,0.83825016,123.206
10088621,1.595,1.6159084,6008,0.7572489,57.851
10088639,1.119,1.1848371,5422.6665,0.9286804,74.142
10091851,1.157,1.513435,5794,0.8018913,195.152
10092157,1.019,1.2316304,5120.75,1.038599,134.952
10097553,0.725,0.7368511,4518.0874,1.393547,283.499
10097622,0.756,1.0593246,4882.737,1.1360312,305.919
10097661,0.728,0.9158538,4902,1.2075624,109.498
10097755,0.65,0.623269,5026,1.2686567,138.729
10097763,0.992,1.0740716,5449.4634,0.8843813,35.509
10098068,0.782,1.1786791,5031.885,1.0877485,319.134
10122520,0.782,0.76162535,4958.425,1.2002382,172.183
10122684,0.855,0.96450007,5476.4634,0.92491436,82.11
10122722,0.653,0.72132075,4459.43,1.4085989,232.741
10122735,1.15,1.5746952,6360,0.71249866,51.615
10122768,1.126,1.2510973,6131.5,0.7776003,113.078
10001224,0.898,1.0500698,5439.7803,0.9011955,112.585
10001312,0.84,0.81716174,5003.6123,1.1167831,170.626
10001313,0.52,0.86624646,4525,1.4177475,213.518
10001322,0.916,0.9088996,5486.18,0.90120316,110.218
10001368,1.069,1.1459601,5856.5,0.8057232,73.626
10005274,1.077,1.8272945,5645.04,0.77386475,69.259
10005278,0.968,0.8126428,5778,0.8586407,137.481
10005353,0.91,1.0515909,5748,0.8519039,176.596
10005367,0.779,1.1908575,5886.5,0.78643036,58.416
10005397,0.996,1.2643455,5832,0.8149853,80.02
10014558,0.843,0.847134,5093.75,1.0232649,95.738
10014574,1.105,1.1871948,5499.5,0.9235287,67.539
10014578,0.904,1.4065022,5801.25,0.86875534,79.409
10018857,1.099,1.3853049,5413.5,0.9111204,120.379
10018904,1.207,1.4620264,5461,0.9166689,228.325
10018920,1.02,1.3981026,5800.25,0.8347883,114.183
10018953,1.036,1.1226593,5376,0.9608755,151.643
10018962,0.845,0.9247852,4916,1.1890602,146.196
10018969,1.169,1.0802418,5444.25,0.9068413,207.037
10024715,1.207,1.2130494,5601,0.8927784,216.804
10024777,1.048,1.0879242,5325,0.9954891,245.515
10024811,0.762,0.6727289,4910.5947,1.2062855,135.444
10024825,1.047,1.3135395,5290.567,0.9911251,176.629
10024834,1.047,1.0709676,5336,1.0003824,231.195
10024862,1.298,1.198134,5790,0.83538914,233.167
10028599,0.815,0.73961663,4676.55,1.33745,196.72
